REMOVE 7: allspice berries                              -> KEEP 6: allspice
REMOVE 12: almond slivers                                -> KEEP 8: almond
REMOVE 13: almonds                                       -> KEEP 8: almond
REMOVE 14: almonds, raw                                  -> KEEP 8: almond
REMOVE 15: almonds, roasted                              -> KEEP 8: almond
REMOVE 23: apple, fuji                                   -> KEEP 20: apple
REMOVE 24: apple, gala                                   -> KEEP 20: apple
REMOVE 25: apple, granny smith                           -> KEEP 20: apple
REMOVE 26: apple, honeycrisp                             -> KEEP 20: apple
REMOVE 27: apple, red delicious                          -> KEEP 20: apple
REMOVE 28: apples                                        -> KEEP 20: apple
REMOVE 43: baguette / french bread                       -> KEEP 42: baguette
REMOVE 52: bananas                                       -> KEEP 50: banana
REMOVE 66: beef broth / stock                            -> KEEP 65: beef broth
REMOVE 69: beef chuck roast                              -> KEEP 68: beef chuck
REMOVE 74: beef roast, chuck                             -> KEEP 68: beef chuck
REMOVE 80: beef steak, ribeye                            -> KEEP 72: beef ribeye
REMOVE 81: beef steak, sirloin                           -> KEEP 78: beef sirloin
REMOVE 87: beets                                         -> KEEP 86: beet
REMOVE 89: bell pepper, green                            -> KEEP 88: bell pepper
REMOVE 90: bell pepper, orange                           -> KEEP 88: bell pepper
REMOVE 91: bell pepper, red                              -> KEEP 88: bell pepper
REMOVE 92: bell pepper, yellow                           -> KEEP 88: bell pepper
REMOVE 93: bell peppers                                  -> KEEP 88: bell pepper
REMOVE 99: black pepper, ground                          -> KEEP 98: black pepper
REMOVE 111: bread crumbs                                  -> KEEP 118: breadcrumbs
REMOVE 113: bread, pita                                   -> KEEP 787: pita bread
REMOVE 114: bread, rye                                    -> KEEP 890: rye bread
REMOVE 116: bread, white sandwich                         -> KEEP 1077: white bread
REMOVE 119: breadcrumbs, panko                            -> KEEP 735: panko breadcrumbs
REMOVE 120: breadcrumbs, plain                            -> KEEP 118: breadcrumbs
REMOVE 128: brown rice, long grain                        -> KEEP 127: brown rice
REMOVE 134: butter, salted                                -> KEEP 133: butter
REMOVE 135: butter, unsalted                              -> KEEP 133: butter
REMOVE 139: cabbage, green                                -> KEEP 138: cabbage
REMOVE 140: cabbage, napa                                 -> KEEP 138: cabbage
REMOVE 141: cabbage, red                                  -> KEEP 138: cabbage
REMOVE 147: canned coconut milk                           -> KEEP 251: coconut milk
REMOVE 158: canned tomatoes, crushed                      -> KEEP 305: crushed tomatoes
REMOVE 171: carrots                                       -> KEEP 169: carrot
REMOVE 184: cheddar cheese, marble                        -> KEEP 182: cheddar cheese
REMOVE 185: cheddar cheese, old                           -> KEEP 182: cheddar cheese
REMOVE 195: chicken breast, boneless skinless             -> KEEP 194: chicken breast
REMOVE 197: chicken broth / stock                         -> KEEP 196: chicken broth
REMOVE 206: chickpeas / garbanzo beans, canned            -> KEEP 205: chickpeas
REMOVE 214: chilies                                       -> KEEP 208: chili
REMOVE 217: chipotles in adobo                            -> KEEP 216: chipotle peppers in adobo
REMOVE 240: cinnamon, ground                              -> KEEP 238: cinnamon
REMOVE 244: cloves, ground                                -> KEEP 243: cloves
REMOVE 246: cocoa powder, unsweetened                     -> KEEP 245: cocoa powder
REMOVE 256: cod fillet                                    -> KEEP 255: cod
REMOVE 262: cold water                                    -> KEEP 1064: water
REMOVE 274: corn kernels                                  -> KEEP 272: corn
REMOVE 278: corn tortillas                                -> KEEP 277: corn tortilla
REMOVE 304: crushed red pepper flakes                     -> KEEP 209: chili flakes
REMOVE 307: cucumber, english                             -> KEEP 306: cucumber
REMOVE 308: cucumber, mini / persian                      -> KEEP 306: cucumber
REMOVE 323: dark chocolate bar                            -> KEEP 322: dark chocolate
REMOVE 328: desiccated coconut                            -> KEEP 250: coconut flakes
REMOVE 338: dried chili flakes                            -> KEEP 209: chili flakes
REMOVE 343: dried dill                                    -> KEEP 332: dill, dried
REMOVE 353: dried plums                                   -> KEEP 839: prunes
REMOVE 354: dried plums (aloo)                            -> KEEP 839: prunes
REMOVE 355: dried red chilies                             -> KEEP 339: dried chili peppers
REMOVE 369: egg yolks                                     -> KEEP 368: egg yolk
REMOVE 371: eggplant / aubergine                          -> KEEP 370: eggplant
REMOVE 372: eggs                                          -> KEEP 364: egg
REMOVE 373: eggs, large (whole)                           -> KEEP 364: egg
REMOVE 374: elbow macaroni                                -> KEEP 631: macaroni
REMOVE 375: elbow pasta                                   -> KEEP 631: macaroni
REMOVE 400: flank steak                                   -> KEEP 79: beef steak, flank
REMOVE 402: flour                                         -> KEEP 5: all-purpose flour
REMOVE 404: flour tortillas, large / burrito size         -> KEEP 403: flour tortillas
