name,calories,protein,carbs,fat
"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",3.07,0.0588,0.4118,0.1324
"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",3.3,0.0434,0.5342,0.1127
"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",3.77,0.061,0.798,0.037
"George Weston Bakeries, Thomas English Muffins",2.32,0.08,0.46,0.018
"Waffles, buttermilk, frozen, ready-to-heat",2.73,0.0658,0.4105,0.0922
"Waffle, buttermilk, frozen, ready-to-heat, toasted",3.09,0.0742,0.4839,0.0949
"Waffle, buttermilk, frozen, ready-to-heat, microwaved",2.89,0.0692,0.4416,0.094
"Waffle, plain, frozen, ready-to-heat, microwave",2.98,0.0671,0.4541,0.0991
"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",5.01,0.051,0.643,0.2483
"Pie Crust, Cookie-type, Chocolate, Ready Crust",4.84,0.0608,0.6448,0.2242
"Pie, Dutch Apple, Commercially Prepared",2.9,0.0217,0.4454,0.115
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",4.68,0.0552,0.4679,0.2874
"Waffles, chocolate chip, frozen, ready-to-heat",2.97,0.058,0.4568,0.101
"Tostada shells, corn",4.74,0.0615,0.6443,0.2338
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",3.74,0.0712,0.4784,0.1712
"Bread, pound cake type, pan de torta salvadoran",3.9,0.0706,0.5129,0.1745
"Pastry, Pastelitos de Guava (guava pastries)",3.79,0.0548,0.4776,0.185
"Crackers, snack, Goya Crackers",4.33,0.1425,0.6435,0.1335
"Crackers, cream, Gamesa Sabrosas",4.84,0.0701,0.6455,0.2037
"Crackers, cream, La Moderna Rikis Cream Crackers",4.64,0.0719,0.6488,0.195
"Bread, white wheat",2.38,0.1066,0.4391,0.0215
"Bagels, wheat",2.5,0.102,0.4889,0.0153
"Cream puff, eclair, custard or cream filled, iced",3.34,0.0441,0.3743,0.1852
"Tortillas, ready-to-bake or -fry, flour, shelf stable",2.97,0.0801,0.4927,0.0758
"Snacks, beef jerky, chopped and formed",4.1,0.332,0.11,0.256
"Snacks, corn-based, extruded, chips, plain",5.39,0.0617,0.5727,0.3336
"Snacks, corn-based, extruded, chips, barbecue-flavor",5.23,0.07,0.562,0.327
"Snacks, corn-based, extruded, cones, plain",5.1,0.058,0.629,0.269
"Snacks, fruit leather, pieces",3.59,0.01,0.8282,0.0268
"Snacks, fruit leather, rolls",3.71,0.001,0.858,0.03
"Snacks, granola bars, hard, plain",4.71,0.101,0.644,0.198
"Snacks, granola bars, hard, almond",4.95,0.077,0.62,0.255
